"PK_ID";"EMAIL";"FIRSTNAME";"LASTNAME";"LOCATION";"LIKES_TIRAMISU"
"119";"jupiter.magnusson@elysian-fields.com";"Jupiter";"Magnusson";"Elysian Fields";"FALSE"
"120";"persephone.forsberg@ffaraon.com";"Persephone";"Forsberg";"Ffaraon";"FALSE"
"121";"ops.eliasson@el-dorado.com";"Ops";"Eliasson";"El Dorado";"FALSE"
"123";"bacchus.larsson@ketumati.com";"Bacchus";"Larsson";"Ketumati";"FALSE"
"125";"saturn.svensson@ffaraon.com";"Saturn";"Svensson";"Ffaraon";"FALSE"
"130";"heracles.joensson@brittia.com";"Heracles";"Joensson";"Brittia";"FALSE"
"133";"poseidon.hansson@land-of-manu.com";"Poseidon";"Hansson";"Land of Manu";"FALSE"
"136";"selene.lindstroem@svarga.com";"Selene";"Lindstroem";"Svarga";"FALSE"
"138";"ceres.karlsson@mount-penglai.com";"Ceres";"Karlsson";"Mount Penglai";"FALSE"
"139";"gaia.olofsson@kunlun-mountain.com";"Gaia";"Olofsson";"Kunlun Mountain";"FALSE"
"140";"uranus.bengtsson@cockaigne.com";"Uranus";"Bengtsson";"Cockaigne";"FALSE"
"143";"sol.bergman@thule.com";"Sol";"Bergman";"Thule";"FALSE"
"145";"apollo.svensson@purgatory.com";"Apollo";"Svensson";"Purgatory";"FALSE"
"147";"neptune.bengtsson@biarmaland.com";"Neptune";"Bengtsson";"Biarmaland";"FALSE"
"150";"faunus.bergman@new-jerusalem.com";"Faunus";"Bergman";"New Jerusalem";"FALSE"
"152";"faunus.eklund@summerland.com";"Faunus";"Eklund";"Summerland";"FALSE"
"153";"cupid.lundberg@diyu.com";"Cupid";"Lundberg";"Diyu";"FALSE"
"156";"ceres.johansson@olympus.com";"Ceres";"Johansson";"Olympus";"FALSE"
"158";"dionysus.persson@lemuria.com";"Dionysus";"Persson";"Lemuria";"FALSE"
"159";"rhea.wallin@xanadu.com";"Rhea";"Wallin";"Xanadu";"FALSE"
"161";"cupid.bergqvist@lintukoto.com";"Cupid";"Bergqvist";"Lintukoto";"FALSE"
"162";"diana.samuelsson@cíbola.com";"Diana";"Samuelsson";"Cíbola";"FALSE"
"163";"helios.lundstroem@sierra-de-la-plata.com";"Helios";"Lundstroem";"Sierra de la Plata";"FALSE"
"164";"diana.jakobsson@shangdu.com";"Diana";"Jakobsson";"Shangdu";"FALSE"
"165";"hypnos.martensson@annwn.com";"Hypnos";"Martensson";"Annwn";"FALSE"
"169";"bacchus.lundstroem@ffaraon.com";"Bacchus";"Lundstroem";"Ffaraon";"FALSE"
"170";"selene.sandberg@ffaraon.com";"Selene";"Sandberg";"Ffaraon";"FALSE"
"173";"bacchus.bergstroem@summerland.com";"Bacchus";"Bergstroem";"Summerland";"FALSE"
"174";"saturn.bengtsson@xanadu.com";"Saturn";"Bengtsson";"Xanadu";"FALSE"
"176";"minerva.jonsson@city-of-the-caesars.com";"Minerva";"Jonsson";"City of the Caesars";"FALSE"
"177";"sol.jansson@atlantis.com";"Sol";"Jansson";"Atlantis";"FALSE"
"178";"ceres.martensson@garden-of-eden.com";"Ceres";"Martensson";"Garden of Eden";"FALSE"
"180";"pan.lindqvist@zarahemla.com";"Pan";"Lindqvist";"Zarahemla";"FALSE"
"181";"mars.lindgren@kyoepelinvuori.com";"Mars";"Lindgren";"Kyoepelinvuori";"FALSE"
"184";"hermes.samuelsson@sierra-de-la-plata.com";"Hermes";"Samuelsson";"Sierra de la Plata";"FALSE"
"185";"terra.arvidsson@city-of-the-caesars.com";"Terra";"Arvidsson";"City of the Caesars";"FALSE"
"186";"terra.mattsson@paititi.com";"Terra";"Mattsson";"Paititi";"FALSE"
"187";"hera.magnusson@annwn.com";"Hera";"Magnusson";"Annwn";"FALSE"
"189";"minerva.wikstroem@aztlan.com";"Minerva";"Wikstroem";"Aztlan";"FALSE"
"190";"sol.axelsson@valhalla.com";"Sol";"Axelsson";"Valhalla";"FALSE"
"193";"ulysses.eliasson@themiscyra.com";"Ulysses";"Eliasson";"Themiscyra";"FALSE"
"196";"neptune.bjoerk@thule.com";"Neptune";"Bjoerk";"Thule";"FALSE"
"197";"hercules.wikstroem@dinas-affaraon.com";"Hercules";"Wikstroem";"Dinas Affaraon";"FALSE"
"198";"pan.hansson@land-of-manu.com";"Pan";"Hansson";"Land of Manu";"FALSE"
"199";"selene.berg@axis-mundi.com";"Selene";"Berg";"Axis Mundi";"FALSE"
"201";"helios.sandberg@ys.com";"Helios";"Sandberg";"Ys";"FALSE"
"203";"aphrodite.jansson@biarmaland.com";"Aphrodite";"Jansson";"Biarmaland";"FALSE"
"204";"hephaestus.berglund@islands-of-the-blessed.com";"Hephaestus";"Berglund";"Islands of the Blessed";"FALSE"
"205";"rhea.lindgren@cockaigne.com";"Rhea";"Lindgren";"Cockaigne";"FALSE"
"206";"victoria.isaksson@nysa.com";"Victoria";"Isaksson";"Nysa";"FALSE"
"207";"ulysses.nilsson@la-ciudad-blanca.com";"Ulysses";"Nilsson";"La Ciudad Blanca";"FALSE"
"208";"odysseus.lindqvist@westernesse.com";"Odysseus";"Lindqvist";"Westernesse";"FALSE"
"211";"neptune.mattsson@zerzura.com";"Neptune";"Mattsson";"Zerzura";"FALSE"
"213";"mercury.lindqvist@brahmapura.com";"Mercury";"Lindqvist";"Brahmapura";"FALSE"
"214";"rhea.viklund@axis-mundi.com";"Rhea";"Viklund";"Axis Mundi";"FALSE"
"216";"venus.forsberg@biarmaland.com";"Venus";"Forsberg";"Biarmaland";"FALSE"
"219";"jupiter.lundstroem@sierra-de-la-plata.com";"Jupiter";"Lundstroem";"Sierra de la Plata";"FALSE"
"221";"terra.bergman@xanadu.com";"Terra";"Bergman";"Xanadu";"FALSE"
"222";"eros.gunnarsson@cloud-cuckoo-land.com";"Eros";"Gunnarsson";"Cloud cuckoo land";"FALSE"
"224";"persephone.nordstroem@cloud-cuckoo-land.com";"Persephone";"Nordstroem";"Cloud cuckoo land";"FALSE"
"225";"somnus.persson@sierra-de-la-plata.com";"Somnus";"Persson";"Sierra de la Plata";"FALSE"
"227";"terra.holmberg@kvenland.com";"Terra";"Holmberg";"Kvenland";"FALSE"
"229";"minerva.isaksson@baltia.com";"Minerva";"Isaksson";"Baltia";"FALSE"
"230";"somnus.bjoerk@avalon.com";"Somnus";"Bjoerk";"Avalon";"FALSE"
"231";"venus.gustafsson@svarga.com";"Venus";"Gustafsson";"Svarga";"FALSE"
"235";"ceres.pettersson@hawaiki.com";"Ceres";"Pettersson";"Hawaiki";"FALSE"
"236";"faunus.persson@elysian-fields.com";"Faunus";"Persson";"Elysian Fields";"FALSE"
"237";"neptune.persson@olympus.com";"Neptune";"Persson";"Olympus";"FALSE"
"238";"aurora.lind@muspelheim.com";"Aurora";"Lind";"Muspelheim";"FALSE"
"239";"sol.persson@pandaemonium.com";"Sol";"Persson";"Pandaemonium";"FALSE"
"240";"juno.loefgren@pleroma.com";"Juno";"Loefgren";"Pleroma";"FALSE"
"242";"aphrodite.holmberg@city-of-the-caesars.com";"Aphrodite";"Holmberg";"City of the Caesars";"FALSE"
"244";"proserpine.bjoerklund@biarmaland.com";"Proserpine";"Bjoerklund";"Biarmaland";"FALSE"
"245";"jupiter.forsberg@kingdom-of-saguenay.com";"Jupiter";"Forsberg";"Kingdom of Saguenay";"FALSE"
"246";"hephaestus.soederberg@tartarus.com";"Hephaestus";"Soederberg";"Tartarus";"FALSE"
"257";"eros.gustafsson@feather-mountain.com";"Eros";"Gustafsson";"Feather Mountain";"FALSE"
"259";"poseidon.larsson@agartha.com";"Poseidon";"Larsson";"Agartha";"FALSE"
"262";"victoria.johansson@kingdom-of-reynes.com";"Victoria";"Johansson";"Kingdom of Reynes";"FALSE"
"263";"apollo.bjoerklund@lake-parime.com";"Apollo";"Bjoerklund";"Lake Parime";"FALSE"
"264";"proserpine.joensson@cíbola.com";"Proserpine";"Joensson";"Cíbola";"FALSE"
"265";"dionysus.larsson@ffaraon.com";"Dionysus";"Larsson";"Ffaraon";"FALSE"
"270";"victoria.gustafsson@jotunheim.com";"Victoria";"Gustafsson";"Jotunheim";"FALSE"
"273";"cronus.blomqvist@asphodel-meadows.com";"Cronus";"Blomqvist";"Asphodel Meadows";"FALSE"
"274";"hermes.bjoerk@xibalba.com";"Hermes";"Bjoerk";"Xibalba";"FALSE"
"275";"somnus.lind@norumbega.com";"Somnus";"Lind";"Norumbega";"FALSE"
"281";"nike.lundgren@annwn.com";"Nike";"Lundgren";"Annwn";"FALSE"
"282";"juno.bengtsson@cloud-cuckoo-land.com";"Juno";"Bengtsson";"Cloud cuckoo land";"FALSE"
"283";"minerva.lindstroem@lake-parime.com";"Minerva";"Lindstroem";"Lake Parime";"FALSE"
"284";"ops.lundgren@mictlan.com";"Ops";"Lundgren";"Mictlan";"FALSE"
"286";"gaia.gustafsson@ram-setu.com";"Gaia";"Gustafsson";"Ram Setu";"FALSE"
"288";"selene.persson@lyonesse.com";"Selene";"Persson";"Lyonesse";"FALSE"
"290";"eos.arvidsson@mount-penglai.com";"Eos";"Arvidsson";"Mount Penglai";"FALSE"
"292";"terra.lundgren@olympus.com";"Terra";"Lundgren";"Olympus";"FALSE"
"293";"hephaestus.holm@suddene.com";"Hephaestus";"Holm";"Suddene";"FALSE"
"294";"uranus.fransson@ayotha-amirtha-gangai.com";"Uranus";"Fransson";"Ayotha Amirtha Gangai";"FALSE"
"295";"odysseus.larsson@land-of-manu.com";"Odysseus";"Larsson";"Land of Manu";"FALSE"
"296";"proserpine.samuelsson@lake-parime.com";"Proserpine";"Samuelsson";"Lake Parime";"FALSE"
"297";"sol.persson@niflheim.com";"Sol";"Persson";"Niflheim";"FALSE"
"298";"zeus.lundin@svartalfaheimr.com";"Zeus";"Lundin";"Svartalfaheimr";"FALSE"
"301";"mars.johansson@camelot.com";"Mars";"Johansson";"Camelot";"FALSE"
"305";"hephaestus.nordstroem@biringan-city.com";"Hephaestus";"Nordstroem";"Biringan City";"FALSE"
"306";"hypnos.axelsson@amaravati.com";"Hypnos";"Axelsson";"Amaravati";"FALSE"
"307";"ulysses.eliasson@nirvana.com";"Ulysses";"Eliasson";"Nirvana";"FALSE"
"308";"hera.viklund@pangaia.com";"Hera";"Viklund";"Pangaia";"FALSE"
"309";"gaia.berglund@tir-na-nag.com";"Gaia";"Berglund";"Tir na nag";"FALSE"
"313";"ares.sjoeberg@jotunheim.com";"Ares";"Sjoeberg";"Jotunheim";"FALSE"
"314";"mars.holm@diyu.com";"Mars";"Holm";"Diyu";"FALSE"
"315";"diana.hakansson@xibalba.com";"Diana";"Hakansson";"Xibalba";"FALSE"
"318";"sol.bergstroem@alomkik.com";"Sol";"Bergstroem";"Alomkik";"FALSE"
"323";"helios.bergstroem@hawaiki.com";"Helios";"Bergstroem";"Hawaiki";"FALSE"
"324";"athena.lundgren@niflheim.com";"Athena";"Lundgren";"Niflheim";"FALSE"
"327";"eos.larsson@annwn.com";"Eos";"Larsson";"Annwn";"FALSE"
"331";"pan.hansson@asgard.com";"Pan";"Hansson";"Asgard";"FALSE"
"332";"somnus.gustafsson@camelot.com";"Somnus";"Gustafsson";"Camelot";"FALSE"
"334";"hermes.berglund@muspelheim.com";"Hermes";"Berglund";"Muspelheim";"FALSE"
"335";"zeus.jonsson@svartalfaheimr.com";"Zeus";"Jonsson";"Svartalfaheimr";"FALSE"
"337";"apollo.lundgren@feather-mountain.com";"Apollo";"Lundgren";"Feather Mountain";"FALSE"
"338";"proserpine.fredriksson@lintukoto.com";"Proserpine";"Fredriksson";"Lintukoto";"FALSE"
"339";"hypnos.viklund@naraka.com";"Hypnos";"Viklund";"Naraka";"FALSE"
"340";"diana.persson@vaikuntha.com";"Diana";"Persson";"Vaikuntha";"FALSE"
"341";"proserpine.lindberg@niflhel.com";"Proserpine";"Lindberg";"Niflhel";"FALSE"
"343";"ops.joensson@new-jerusalem.com";"Ops";"Joensson";"New Jerusalem";"FALSE"
"346";"proserpine.lundgren@shangdu.com";"Proserpine";"Lundgren";"Shangdu";"FALSE"
"349";"cupid.claesson@kingdom-of-saguenay.com";"Cupid";"Claesson";"Kingdom of Saguenay";"FALSE"
"353";"dionysus.berglund@irkalla.com";"Dionysus";"Berglund";"Irkalla";"FALSE"
"354";"rhea.holm@zarahemla.com";"Rhea";"Holm";"Zarahemla";"FALSE"
"357";"luna.olofsson@xibalba.com";"Luna";"Olofsson";"Xibalba";"FALSE"
"359";"ops.lundstroem@elysian-fields.com";"Ops";"Lundstroem";"Elysian Fields";"FALSE"
"366";"mars.henriksson@new-jerusalem.com";"Mars";"Henriksson";"New Jerusalem";"FALSE"
"368";"aurora.olsson@svarga.com";"Aurora";"Olsson";"Svarga";"FALSE"
"369";"jupiter.loefgren@brittia.com";"Jupiter";"Loefgren";"Brittia";"FALSE"
"373";"cupid.svensson@kitezh.com";"Cupid";"Svensson";"Kitezh";"FALSE"
"375";"victoria.wikstroem@thuvaraiyam-pathi.com";"Victoria";"Wikstroem";"Thuvaraiyam Pathi";"FALSE"
"376";"diana.magnusson@ffaraon.com";"Diana";"Magnusson";"Ffaraon";"FALSE"
"378";"uranus.lind@shangri-la.com";"Uranus";"Lind";"Shangri-La";"FALSE"
"379";"hermes.lundstroem@thuvaraiyam-pathi.com";"Hermes";"Lundstroem";"Thuvaraiyam Pathi";"FALSE"
"380";"mercury.holmberg@cockaigne.com";"Mercury";"Holmberg";"Cockaigne";"FALSE"
"381";"zeus.henriksson@valhalla.com";"Zeus";"Henriksson";"Valhalla";"FALSE"
"382";"athena.bengtsson@brahmapura.com";"Athena";"Bengtsson";"Brahmapura";"FALSE"
"384";"ares.holmberg@aztlan.com";"Ares";"Holmberg";"Aztlan";"FALSE"
"385";"ops.joensson@feather-mountain.com";"Ops";"Joensson";"Feather Mountain";"FALSE"
"386";"uranus.martensson@agartha.com";"Uranus";"Martensson";"Agartha";"FALSE"
"387";"proserpine.bergqvist@pohjola.com";"Proserpine";"Bergqvist";"Pohjola";"FALSE"
"388";"uranus.olsson@shambhala.com";"Uranus";"Olsson";"Shambhala";"FALSE"
"389";"hades.svensson@themiscyra.com";"Hades";"Svensson";"Themiscyra";"FALSE"
"390";"rhea.olsson@westernesse.com";"Rhea";"Olsson";"Westernesse";"FALSE"
"392";"faunus.lind@yomi.com";"Faunus";"Lind";"Yomi";"FALSE"
"396";"aphrodite.lindberg@nirvana.com";"Aphrodite";"Lindberg";"Nirvana";"FALSE"
"399";"eos.engstroem@lyonesse.com";"Eos";"Engstroem";"Lyonesse";"FALSE"
"400";"hephaestus.blomqvist@pangaia.com";"Hephaestus";"Blomqvist";"Pangaia";"FALSE"
"402";"bacchus.sandberg@city-of-the-caesars.com";"Bacchus";"Sandberg";"City of the Caesars";"FALSE"
"404";"zeus.eklund@mu.com";"Zeus";"Eklund";"Mu";"FALSE"
"409";"jupiter.olsson@avalon.com";"Jupiter";"Olsson";"Avalon";"FALSE"
"410";"pan.bergqvist@new-jerusalem.com";"Pan";"Bergqvist";"New Jerusalem";"FALSE"
"411";"heracles.blomqvist@biarmaland.com";"Heracles";"Blomqvist";"Biarmaland";"FALSE"
"412";"mercury.hansson@land-of-manu.com";"Mercury";"Hansson";"Land of Manu";"FALSE"
"415";"mercury.lundberg@kitezh.com";"Mercury";"Lundberg";"Kitezh";"FALSE"
"416";"hephaestus.berglund@laestrygon.com";"Hephaestus";"Berglund";"Laestrygon";"FALSE"
"419";"faunus.danielsson@jambudv?pa.com";"Faunus";"Danielsson";"Jambudv?pa";"FALSE"
"422";"mars.persson@lake-parime.com";"Mars";"Persson";"Lake Parime";"FALSE"
"425";"eros.berg@pohjola.com";"Eros";"Berg";"Pohjola";"FALSE"
"427";"minerva.forsberg@takama-ga-hara.com";"Minerva";"Forsberg";"Takama-ga-hara";"FALSE"
"429";"gaia.persson@kolob.com";"Gaia";"Persson";"Kolob";"FALSE"
"430";"ares.wallin@feather-mountain.com";"Ares";"Wallin";"Feather Mountain";"FALSE"
"432";"terra.lundin@heaven.com";"Terra";"Lundin";"Heaven";"FALSE"
"433";"artemis.johansson@axis-mundi.com";"Artemis";"Johansson";"Axis Mundi";"FALSE"
"435";"eos.nordstroem@ram-setu.com";"Eos";"Nordstroem";"Ram Setu";"FALSE"
"436";"mars.sjoeberg@suddene.com";"Mars";"Sjoeberg";"Suddene";"FALSE"
"438";"eos.bergman@yomi.com";"Eos";"Bergman";"Yomi";"FALSE"
"439";"rhea.nordstroem@hyperborea.com";"Rhea";"Nordstroem";"Hyperborea";"FALSE"
"441";"ceres.holm@zion.com";"Ceres";"Holm";"Zion";"FALSE"
"446";"uranus.engstroem@camelot.com";"Uranus";"Engstroem";"Camelot";"FALSE"
"447";"luna.jakobsson@vaikuntha.com";"Luna";"Jakobsson";"Vaikuntha";"FALSE"
"450";"victoria.sjoeberg@cockaigne.com";"Victoria";"Sjoeberg";"Cockaigne";"FALSE"
"452";"eros.karlsson@cockaigne.com";"Eros";"Karlsson";"Cockaigne";"FALSE"
"455";"uranus.isaksson@kvenland.com";"Uranus";"Isaksson";"Kvenland";"FALSE"
"456";"terra.loefgren@naraka.com";"Terra";"Loefgren";"Naraka";"FALSE"
"457";"hera.lind@agartha.com";"Hera";"Lind";"Agartha";"FALSE"
"464";"victoria.wikstroem@niflhel.com";"Victoria";"Wikstroem";"Niflhel";"FALSE"
"465";"luna.lindgren@suddene.com";"Luna";"Lindgren";"Suddene";"FALSE"
"466";"hypnos.lundqvist@camelot.com";"Hypnos";"Lundqvist";"Camelot";"FALSE"
"468";"apollo.lindqvist@asgard.com";"Apollo";"Lindqvist";"Asgard";"FALSE"
"469";"zeus.johansson@arcadia.com";"Zeus";"Johansson";"Arcadia";"FALSE"
"474";"athena.jakobsson@garden-of-the-hesperides.com";"Athena";"Jakobsson";"Garden of the Hesperides";"FALSE"
"476";"apollo.berg@zerzura.com";"Apollo";"Berg";"Zerzura";"FALSE"
"477";"zeus.nystroem@vanaheimr.com";"Zeus";"Nystroem";"Vanaheimr";"FALSE"
"478";"nike.olsson@el-dorado.com";"Nike";"Olsson";"El Dorado";"FALSE"
"481";"ares.claesson@tartarus.com";"Ares";"Claesson";"Tartarus";"FALSE"
"483";"gaia.isaksson@pohjola.com";"Gaia";"Isaksson";"Pohjola";"FALSE"
"485";"diana.eliasson@axis-mundi.com";"Diana";"Eliasson";"Axis Mundi";"FALSE"
"488";"hermes.lundqvist@kyoepelinvuori.com";"Hermes";"Lundqvist";"Kyoepelinvuori";"FALSE"
"489";"neptune.hakansson@pohjola.com";"Neptune";"Hakansson";"Pohjola";"FALSE"
"490";"hermes.andersson@shambhala.com";"Hermes";"Andersson";"Shambhala";"FALSE"
"491";"ares.isaksson@thule.com";"Ares";"Isaksson";"Thule";"FALSE"
"492";"poseidon.holmberg@muspelheim.com";"Poseidon";"Holmberg";"Muspelheim";"FALSE"
"493";"hephaestus.martensson@pleroma.com";"Hephaestus";"Martensson";"Pleroma";"FALSE"
"495";"persephone.bjoerk@valhalla.com";"Persephone";"Bjoerk";"Valhalla";"FALSE"
"496";"vulcan.bergstroem@summerland.com";"Vulcan";"Bergstroem";"Summerland";"FALSE"
"498";"hera.jansson@asphodel-meadows.com";"Hera";"Jansson";"Asphodel Meadows";"FALSE"
"500";"poseidon.gustafsson@paititi.com";"Poseidon";"Gustafsson";"Paititi";"FALSE"
"502";"neptune.engstroem@biringan-city.com";"Neptune";"Engstroem";"Biringan City";"FALSE"
"503";"hermes.nyberg@alomkik.com";"Hermes";"Nyberg";"Alomkik";"FALSE"
"504";"minerva.magnusson@quivira.com";"Minerva";"Magnusson";"Quivira";"FALSE"
"506";"apollo.nordstroem@el-dorado.com";"Apollo";"Nordstroem";"El Dorado";"FALSE"
"507";"apollo.berg@alomkik.com";"Apollo";"Berg";"Alomkik";"FALSE"
"511";"zeus.wikstroem@shangri-la.com";"Zeus";"Wikstroem";"Shangri-La";"FALSE"
"513";"mars.andersson@diyu.com";"Mars";"Andersson";"Diyu";"FALSE"
"514";"helios.andersson@land-of-manu.com";"Helios";"Andersson";"Land of Manu";"FALSE"
"515";"cupid.lindqvist@kitezh.com";"Cupid";"Lindqvist";"Kitezh";"FALSE"
"516";"odysseus.gustafsson@jambudv?pa.com";"Odysseus";"Gustafsson";"Jambudv?pa";"FALSE"
"517";"zeus.mattsson@yomi.com";"Zeus";"Mattsson";"Yomi";"FALSE"
"518";"heracles.lundin@themiscyra.com";"Heracles";"Lundin";"Themiscyra";"FALSE"
"521";"hermes.fredriksson@aztlan.com";"Hermes";"Fredriksson";"Aztlan";"FALSE"
"525";"somnus.hakansson@cloud-cuckoo-land.com";"Somnus";"Hakansson";"Cloud cuckoo land";"FALSE"
"527";"apollo.larsson@mu.com";"Apollo";"Larsson";"Mu";"FALSE"
"528";"apollo.olofsson@jotunheim.com";"Apollo";"Olofsson";"Jotunheim";"FALSE"
"529";"luna.pettersson@city-of-the-caesars.com";"Luna";"Pettersson";"City of the Caesars";"FALSE"
"532";"sol.isaksson@tir-na-nag.com";"Sol";"Isaksson";"Tir na nag";"FALSE"
"537";"pluto.pettersson@suddene.com";"Pluto";"Pettersson";"Suddene";"FALSE"
"538";"heracles.fransson@niflheim.com";"Heracles";"Fransson";"Niflheim";"FALSE"
"539";"rhea.loefgren@yomi.com";"Rhea";"Loefgren";"Yomi";"FALSE"
"540";"proserpine.blomqvist@kvenland.com";"Proserpine";"Blomqvist";"Kvenland";"FALSE"
"541";"minerva.fredriksson@ayotha-amirtha-gangai.com";"Minerva";"Fredriksson";"Ayotha Amirtha Gangai";"FALSE"
"542";"selene.magnusson@asphodel-meadows.com";"Selene";"Magnusson";"Asphodel Meadows";"FALSE"
"544";"mercury.nyberg@ayotha-amirtha-gangai.com";"Mercury";"Nyberg";"Ayotha Amirtha Gangai";"FALSE"
"545";"juno.olofsson@asgard.com";"Juno";"Olofsson";"Asgard";"FALSE"
